"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/rate_change/excess/expiring_revalued","expiring_revalued","float","output","n/a","Expiring 
 Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/excess","excess","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage/expiring_revalued","expiring_revalued","float","output","n/a","Expiring 
 Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage","brokerage","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/currency/renewal","renewal","str","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/currency/expiring","expiring","str","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/currency/expiring_revalued","expiring_revalued","str","output","n/a","Expiring 
 Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/currency","currency","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/rate/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/rate/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/rate/expiring_revalued","expiring_revalued","float","output","n/a","Expiring 
 Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/rate","rate","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/expiring_policy_info/expiring_quoted_premium_100","expiring_quoted_premium_100","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_quoted_premium_annual_100","expiring_quoted_premium_annual_100","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_quoted_premium","expiring_quoted_premium","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_quoted_premium_annual","expiring_quoted_premium_annual","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_limit","expiring_limit","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_excess","expiring_excess","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_deductible","expiring_deductible","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_brokerage","expiring_brokerage","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_currency","expiring_currency","str","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info/expiring_rate","expiring_rate","float","output","n/a","Not set","n/a","n/a","['expiring_policy_fetch_task', 'rarc_task']"
"cds/layers/rate_change/expiring_policy_info","expiring_policy_info","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/error_message","error_message","str","output","n/a","Not set","n/a","n/a","n/a"
"cds/layers/rate_change/temp_storage/quoted_premium","quoted_premium","float","output","n/a","Not set","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/temp_storage/benchmark_premium","benchmark_premium","float","output","n/a","Not set","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/temp_storage/currency","currency","str","output","n/a","Not set","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/temp_storage","temp_storage","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/new_layer","new_layer","bool","output","n/a","New Layer","n/a","n/a","n/a"
"cds/layers/rate_change/renewing_layer","renewing_layer","bool","output","n/a","Not set","n/a","['expiring_policy_fetch_task', 'rarc_task']","n/a"
"cds/layers/rate_change/show_expiring_revalued","show_expiring_revalued","bool","output","n/a","Not set","n/a","['expiring_policy_fetch_task', 'rarc_task']","n/a"
"cds/layers/rate_change/rate_change_multiplier","rate_change_multiplier","float","output","n/a","Rate Change
Multiplier","n/a","n/a","n/a"
"cds/layers/rate_change/implied_renewable_rate","implied_renewable_rate","float","output","n/a","Implied
Renewable
Rate","n/a","n/a","n/a"
"cds/layers/rate_change/implied_renewable_premium","implied_renewable_premium","float","output","n/a","Implied
Renewable
Premium","n/a","n/a","n/a"
"cds/layers/rate_change","rate_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/bpi_case_priced","bpi_case_priced","float","input","required","BPI (Case Priced)","0","n/a","n/a"
"cds/layers/premium_label","premium_label","str","output","n/a","Not set","n/a","n/a","n/a"
"cds/layers/technical_premium_pre_uw_adj_100","technical_premium_pre_uw_adj_100","float","output","n/a","Gross Technical Premium (Pre-UW Adjustment) 100%","n/a","n/a","n/a"
"cds/layers/technical_premium_annual_100","technical_premium_annual_100","float","output","n/a","Annualised Gross Technical Premium 100%","n/a","n/a","n/a"
"cds/layers/technical_premium_annual","technical_premium_annual","float","output","n/a","Annualised Gross Technical Premium AFB%","n/a","n/a","n/a"
"cds/layers/expected_loss_cost_pre_uw_adj_100","expected_loss_cost_pre_uw_adj_100","float","output","n/a","Expected Loss Cost (Pre-UW Ajustment) 100%","n/a","n/a","n/a"
"cds/layers/include_layer","include_layer","bool","input","required","Include?","True","['rarc_task']","n/a"
"cds/layers/advanced_features_input/aad","aad","float","input","required","AAD","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/advanced_features_input","advanced_features_input","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/loss_corridor/min_rate","min_rate","float","input","required","Min Rate","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/loss_corridor/max_rate","max_rate","float","input","required","Max Rate","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/loss_corridor/insured_participation","insured_participation","float","input","required","Insured
Participation","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/loss_corridor","loss_corridor","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/swing_rates/swing_brokerage","swing_brokerage","float","input","required","Swing
Brokerage","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/use_swing_brokerage","use_swing_brokerage","bool","input","required","Use Swing
Brokerage","False","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/deposit_rate","deposit_rate","float","input","required","Deposit Rate","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/min_rate","min_rate","float","input","required","Min Rate","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/max_rate","max_rate","float","input","required","Max Rate","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/margin","margin","float","input","required","Margin","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/loading_factor","loading_factor","float","input","required","Loading
Factor","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates/claims_cap_pct","claims_cap_pct","float","input","required","Claims Cap
Pct","0","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/swing_rates","swing_rates","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/epi_100","epi_100","float","input","optional","EPI 100","None","['advanced_features_task', 'rarc_task']","n/a"
"cds/layers/rate","rate","float","input","optional","Rate","None","['advanced_features_task', 'rarc_task']","n/a"
