StateCounty,Unknown,No,Yes
ALDale County,0.0000000000000000000,0.0000000000000000000,0.0976792479994952000
ALDallas County,0.0000000000000000000,0.0000000000000000000,0.0985445622019165000
ALDekalb County,0.0000000000000000000,0.0000000000000000000,0.0988888834918766000
ALElmore County,0.0000000000000000000,0.0000000000000000000,0.0963519548082432000
ALEscambia County,0.0000000000000000000,0.0000000000000000000,0.0968466304100140000
ALEtowah County,0.0000000000000000000,0.0000000000000000000,0.0969452184047419000
ALFayette County,0.0000000000000000000,0.0000000000000000000,0.0989247670002880000
ALFranklin County,0.0000000000000000000,0.0000000000000000000,0.0995970852600141000
ALGeneva County,0.0000000000000000000,0.0000000000000000000,0.0972536710753351000
ALGreene County,0.0000000000000000000,0.0000000000000000000,0.0975252432418394000
ALHale County,0.0000000000000000000,0.0000000000000000000,0.0981234360514980000
ALHenry County,0.0000000000000000000,0.0000000000000000000,0.0981505443304591000
ALHouston County,0.0000000000000000000,0.0000000000000000000,0.0976546154311482000
ALJackson County,0.0000000000000000000,0.0000000000000000000,0.0988548892535692000
ALJefferson County,0.0000000000000000000,0.0000000000000000000,0.0949577343922188000
ALLamar County,0.0000000000000000000,0.0000000000000000000,0.0990286380529413000
ALLauderdale County,0.0000000000000000000,0.0000000000000000000,0.0993665291410117000
ALLawrence County,0.0000000000000000000,0.0000000000000000000,0.0985579308332867000
ALLee County,0.0000000000000000000,0.0000000000000000000,0.0956870871460136000
ALLimestone County,0.0000000000000000000,0.0000000000000000000,0.0981487548749616000
ALLowndes County,0.0000000000000000000,0.0000000000000000000,0.0982195137924486000
ALMacon County,0.0000000000000000000,0.0000000000000000000,0.0970292714489165000
ALMadison County,0.0000000000000000000,0.0000000000000000000,0.0971841441229242000
ALMarengo County,0.0000000000000000000,0.0000000000000000000,0.0984250755158473000
ALMarion County,0.0000000000000000000,0.0000000000000000000,0.0992017259109133000
ALMarshall County,0.0000000000000000000,0.0000000000000000000,0.0982524778860132000
ALMobile County,0.0000000000000000000,0.0000000000000000000,0.0931956037740238000
ALMonroe County,0.0000000000000000000,0.0000000000000000000,0.0972762138149832000
ALMontgomery County,0.0000000000000000000,0.0000000000000000000,0.0955868370483053000
ALMorgan County,0.0000000000000000000,0.0000000000000000000,0.0974926241972451000
ALPerry County,0.0000000000000000000,0.0000000000000000000,0.0988725256649661000
ALPickens County,0.0000000000000000000,0.0000000000000000000,0.0988621091267530000
ALPike County,0.0000000000000000000,0.0000000000000000000,0.0986003820706178000
ALRandolph County,0.0000000000000000000,0.0000000000000000000,0.0978063419450053000
ALRussell County,0.0000000000000000000,0.0000000000000000000,0.0964762847242766000
ALShelby County,0.0000000000000000000,0.0000000000000000000,0.0962021776489375000
ALSt. Clair County,0.0000000000000000000,0.0000000000000000000,0.0967409845269485000
ALSumter County,0.0000000000000000000,0.0000000000000000000,0.0989160185656928000
ALTalladega County,0.0000000000000000000,0.0000000000000000000,0.0975909742623626000
ALTallapoosa County,0.0000000000000000000,0.0000000000000000000,0.0982609066899973000
ALTuscaloosa County,0.0000000000000000000,0.0000000000000000000,0.0951260411339747000
ALWalker County,0.0000000000000000000,0.0000000000000000000,0.0984438476928651000
ALWashington County,0.0000000000000000000,0.0000000000000000000,0.0965363669887940000
ALWilcox County,0.0000000000000000000,0.0000000000000000000,0.0976041770266267000
ALWinston County,0.0000000000000000000,0.0000000000000000000,0.0989699945805229000
ARArkansas County,0.0000000000000000000,0.0000000000000000000,0.0987607263728560000
ARAshley County,0.0000000000000000000,0.0000000000000000000,0.1001169059307820000
ARBaxter County,0.0000000000000000000,0.0000000000000000000,0.0990846818835052000
ARBenton County,0.0000000000000000000,0.0000000000000000000,0.0976357930224037000
ARBoone County,0.0000000000000000000,0.0000000000000000000,0.0991139162096413000
ARBradley County,0.0000000000000000000,0.0000000000000000000,0.0999811554616910000
ARCalhoun County,0.0000000000000000000,0.0000000000000000000,0.0999670565122022000
