StateCounty,Unknown,Little or None,Average,Extensive
CASan Mateo County,0.000000000000000000,-0.007637457770129250,0.000000000000000000,0.044440195412227300
CASanta Barbara County,0.000000000000000000,-0.009406203626346250,0.000000000000000000,0.049766748836950400
CASanta Clara County,0.000000000000000000,-0.009095331237273130,0.000000000000000000,0.048127391929206900
CASanta Cruz County,0.000000000000000000,-0.009480936020951790,0.000000000000000000,0.049958515467340800
CAShasta County,0.000000000000000000,-0.009809943912517330,0.000000000000000000,0.049684088528721700
CASierra County,0.000000000000000000,-0.009990730999840380,0.000000000000000000,0.049953980819163800
CASiskiyou County,0.000000000000000000,-0.009801468684834890,0.000000000000000000,0.050157470664579300
CASolano County,0.000000000000000000,-0.009004033000804550,0.000000000000000000,0.047855697284328700
CASonoma County,0.000000000000000000,-0.008951164141926980,0.000000000000000000,0.050080431139550000
CAStanislaus County,0.000000000000000000,-0.009935175746679240,0.000000000000000000,0.049798559049642600
CASutter County,0.000000000000000000,-0.008864075390886520,0.000000000000000000,0.044584099982240200
CATehama County,0.000000000000000000,-0.009900500034731970,0.000000000000000000,0.050104262769471700
CATrinity County,0.000000000000000000,-0.009767762241006060,0.000000000000000000,0.050081026733988200
CATulare County,0.000000000000000000,-0.009991215408323370,0.000000000000000000,0.049967605852581500
CATuolumne County,0.000000000000000000,-0.009983660650137780,0.000000000000000000,0.049921396707455700
CAVentura County,0.000000000000000000,-0.008821210193948330,0.000000000000000000,0.047889475695653800
CAYolo County,0.000000000000000000,-0.009215603026160870,0.000000000000000000,0.046861864430977500
CAYuba County,0.000000000000000000,-0.009890806420904230,0.000000000000000000,0.049488194834696400
COAdams County,0.000000000000000000,-0.009293054222345390,0.000000000000000000,0.050174132242948100
COAlamosa County,0.000000000000000000,-0.009992351137099840,0.000000000000000000,0.049961959030215600
COArapahoe County,0.000000000000000000,-0.009214295658330760,0.000000000000000000,0.050303574224100500
COArchuleta County,0.000000000000000000,-0.009992260734602460,0.000000000000000000,0.049962857126343700
COBaca County,0.000000000000000000,-0.009994639044601070,0.000000000000000000,0.049973659578228300
