StateCounty,Unknown,No,Yes
CAYolo County,0.00000000000000000,-0.04635539474450790,0.23343249197047400
CAYuba County,0.00000000000000000,-0.04946676489770160,0.24740599344743200
COAdams County,0.00000000000000000,-0.04771132903488460,0.24674596380077200
COAlamosa County,0.00000000000000000,-0.04996184113304250,0.24980956083231400
COArapahoe County,0.00000000000000000,-0.04748686137412850,0.24692598936923800
COArchuleta County,0.00000000000000000,-0.04996187803553920,0.24981290584600200
COBaca County,0.00000000000000000,-0.04997338105041820,0.24986759734811600
COBent County,0.00000000000000000,-0.04991121172236300,0.24956495370398200
COBoulder County,0.00000000000000000,-0.04809705108549530,0.24662820632867700
COBroomfield County,0.00000000000000000,-0.04755518072233770,0.24650290803592700
COChaffee County,0.00000000000000000,-0.04984890391772200,0.24937820252323500
COCheyenne County,0.00000000000000000,-0.04997901758197860,0.24990427969638300
COClear Creek County,0.00000000000000000,-0.04887256988792840,0.24640981015217800
COConejos County,0.00000000000000000,-0.04998518541316430,0.24993832077574200
COCostilla County,0.00000000000000000,-0.04998752456407620,0.24994116777691900
COCrowley County,0.00000000000000000,-0.04986313074400960,0.24934703150598500
COCuster County,0.00000000000000000,-0.04986191163894470,0.24945757243953100
CODelta County,0.00000000000000000,-0.04992872618703080,0.24972294444599200
CODenver County,0.00000000000000000,-0.03038383364858190,0.15856760322824200
CODolores County,0.00000000000000000,-0.04987256811005700,0.24936285560792300
CODouglas County,0.00000000000000000,-0.04783649525679220,0.24660511644019500
COEagle County,0.00000000000000000,-0.04948936751728860,0.24822874013904400
COEl Paso County,0.00000000000000000,-0.04896708970775480,0.24790412021937600
COElbert County,0.00000000000000000,-0.04968022667242720,0.24928285643857300
COFremont County,0.00000000000000000,-0.04971083677259780,0.24920130669643300
COGarfield County,0.00000000000000000,-0.04970597293694910,0.24883467785078300
COGilpin County,0.00000000000000000,-0.04870887679682480,0.24671156934706300
COGrand County,0.00000000000000000,-0.04971430221508530,0.24925947552088100
COGunnison County,0.00000000000000000,-0.04978351837760450,0.24907218168266000
COHinsdale County,0.00000000000000000,-0.04991745468968100,0.24959004506583600
COHuerfano County,0.00000000000000000,-0.04991526422893840,0.24959923457029900
COJackson County,0.00000000000000000,-0.04982021795778680,0.24955169598383800
COJefferson County,0.00000000000000000,-0.04783116247752740,0.24695040198009100
COKiowa County,0.00000000000000000,-0.04997518247122770,0.24988115445933500
COKit Carson County,0.00000000000000000,-0.04995217577195580,0.24979647387597300
COLa Plata County,0.00000000000000000,-0.04987324785702570,0.24938030586639500
COLake County,0.00000000000000000,-0.04964391181597700,0.24906156373899100
COLarimer County,0.00000000000000000,-0.04897933182322180,0.24785812093935700
COLas Animas County,0.00000000000000000,-0.04984818281984930,0.24926105518230100
COLincoln County,0.00000000000000000,-0.04996129208867350,0.24987897987640700
COLogan County,0.00000000000000000,-0.04992064871554490,0.24972175742186200
COMesa County,0.00000000000000000,-0.04968111008626950,0.24882958776055100
COMineral County,0.00000000000000000,-0.04995331928526060,0.24976661223870400
COMoffat County,0.00000000000000000,-0.04966952960006400,0.24845156799798700
COMontezuma County,0.00000000000000000,-0.04996973166278520,0.24985291330466700
COMontrose County,0.00000000000000000,-0.04989938424671100,0.24952140731192400
COMorgan County,0.00000000000000000,-0.04963488556546090,0.24869708996491900
COOtero County,0.00000000000000000,-0.04968686130595590,0.24845240269950100
COOuray County,0.00000000000000000,-0.04982191463312000,0.24913584074887200
COPark County,0.00000000000000000,-0.04930504874615760,0.24829944706316600
COPhillips County,0.00000000000000000,-0.04986243674600530,0.24931530988419500
COPitkin County,0.00000000000000000,-0.04929791947820230,0.24744634462874200
COProwers County,0.00000000000000000,-0.04996258375578710,0.24982262575665900
COPueblo County,0.00000000000000000,-0.04955944395970930,0.24854756233039300
CORio Blanco County,0.00000000000000000,-0.04975503826795010,0.24890096648862500
CORio Grande County,0.00000000000000000,-0.04997473532047820,0.24987438233127300
CORoutt County,0.00000000000000000,-0.04954396324136550,0.24793444489264800
COSaguache County,0.00000000000000000,-0.04997296867772020,0.24988069515413300
COSan Juan County,0.00000000000000000,-0.04993388724800580,0.24967079686847600
COSan Miguel County,0.00000000000000000,-0.04980693940834990,0.24903728239643500
COSedgwick County,0.00000000000000000,-0.04988635238269150,0.24943434274391000
COSummit County,0.00000000000000000,-0.04961103033875880,0.24855491206864500
COTeller County,0.00000000000000000,-0.04941663414866780,0.24826302828607000
COWashington County,0.00000000000000000,-0.04993717179276900,0.24988663066357400
COWeld County,0.00000000000000000,-0.04892296363424290,0.24830173644799200
COYuma County,0.00000000000000000,-0.04994185806155200,0.24980386693126900
CTFairfield County,0.00000000000000000,-0.04395779124477390,0.23762238030232400
CTHartford County,0.00000000000000000,-0.04270204544358310,0.22512365563705700
CTLitchfield County,0.00000000000000000,-0.04645085213840900,0.24321624699511700
CTMiddlesex County,0.00000000000000000,-0.04609674279539490,0.24031003367580000
CTNew Haven County,0.00000000000000000,-0.04363074700643690,0.23241253745697900
CTNew London County,0.00000000000000000,-0.04615827076621750,0.24039211257560500
CTTolland County,0.00000000000000000,-0.04628088727621220,0.24241617164893000
CTWindham County,0.00000000000000000,-0.04634794101749700,0.24253411345810000
DCDistrict Of Columbia,0.00000000000000000,-0.04333751678844130,0.22685974753356200
DEKent County,0.00000000000000000,-0.04708667411597710,0.23648327549557200
DENew Castle County,0.00000000000000000,-0.04483329462549430,0.22982050793646400
DESussex County,0.00000000000000000,-0.04622270425057150,0.23195599632071200
FLAlachua County,0.00000000000000000,-0.04609506027876330,0.23169983364083600
FLBaker County,0.00000000000000000,-0.04662675457781940,0.23539185726994900
FLBay County,0.00000000000000000,-0.04591084354009910,0.22625563557212100
FLBradford County,0.00000000000000000,-0.04575601779920470,0.23225516642700500
FLBrevard County,0.00000000000000000,-0.04399429311516400,0.22078180329163100
