country,risk_name,historic_updated_value,historic_updated_date
AE,Tax,1.8,2016-10-31
AE,Tax,1.7,2016-04-11
AE,TaxConsistency,1.4,2023-01-26
AE,TaxConsistency,1.4,2022-09-14
AE,TaxConsistency,1.5,2020-11-30
AE,TaxConsistency,1.5,2019-11-11
AE,TaxConsistency,1.5,2018-09-24
AE,TaxConsistency,1.5,2016-10-31
AE,TaxIncrease,1.9,2023-01-26
AE,TaxIncrease,1.8,2022-09-14
AE,TaxIncrease,1.8,2022-01-31
AE,TaxIncrease,1.7,2021-10-12
AE,TaxIncrease,1.8,2020-11-30
AE,TaxIncrease,2,2020-06-15
AE,TaxIncrease,1.9,2020-05-18
AE,TaxIncrease,1.9,2020-03-31
AE,TaxIncrease,2,2019-11-11
AE,TaxIncrease,1.9,2019-10-21
AE,TaxIncrease,2,2018-03-19
AE,TaxIncrease,2.2,2017-06-12
AE,TaxIncrease,2.1,2016-10-31
AE,TaxIncrease,1.8,2016-04-11
AE,Terrorism,2.4,2024-11-27
AE,Terrorism,2.4,2023-11-01
AE,Terrorism,2.3,2023-01-26
AE,Terrorism,2.3,2022-11-03
AE,Terrorism,2.3,2022-10-04
AE,Terrorism,2.3,2022-01-18
AE,Terrorism,2.2,2020-11-30
AE,Terrorism,2.2,2020-08-17
AE,Terrorism,2.2,2020-06-23
AE,Terrorism,2.3,2020-01-07
AE,Terrorism,1.6,2019-10-21
AE,Terrorism,1.7,2019-08-28
AE,Terrorism,1.7,2019-05-20
AE,Terrorism,1.5,2018-09-24
AE,Terrorism,1.6,2016-08-29
AE,Terrorism,1.5,2016-08-08
AE,UnderDevelopment,0.4,2023-07-07
AE,UnderDevelopment,0.4,2022-07-20
AE,UnderDevelopment,0.5,2021-07-13
AE,UnderDevelopment,0.6,2019-07-09
AF,BriberyAndCorruption,6.5,2024-10-08
AF,BriberyAndCorruption,7,2023-01-20
AF,BriberyAndCorruption,7.1,2022-06-23
AF,BriberyAndCorruption,7.1,2020-12-07
AF,BriberyAndCorruption,7.1,2019-11-04
AF,BriberyAndCorruption,7,2018-10-29
AF,BriberyAndCorruption,6.9,2017-08-07
AF,BriberyAndCorruption,6.8,2016-10-24
AF,CapitalTransfer,9.9,2022-11-03
AF,CapitalTransfer,10,2022-05-06
AF,CapitalTransfer,8.9,2022-02-02
AF,CapitalTransfer,6.9,2021-11-05
AF,CapitalTransfer,3.4,2021-08-04
AF,CapitalTransfer,3,2021-05-06
AF,CapitalTransfer,3.1,2021-02-03
AF,CapitalTransfer,3,2019-05-15
AF,CapitalTransfer,3.1,2019-02-13
AF,CapitalTransfer,3,2018-11-14
AF,CapitalTransfer,2.6,2017-08-16
AF,CapitalTransfer,2.8,2017-05-09
AF,CapitalTransfer,2.9,2016-05-10
AF,CapitalTransfer,2.6,2015-11-10
AF,CapitalTransfer,2.4,2015-08-11
AF,CivilWar,4.6,2024-10-08
AF,CivilWar,4.5,2024-01-17
AF,CivilWar,4.4,2022-09-13
AF,CivilWar,4.3,2022-01-21
