"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/missouri_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/missouri_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/missouri_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/missouri_counties","missouri_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/mississippi/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/mississippi/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/mississippi/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/mississippi/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/mississippi/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/mississippi/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/mississippi","mississippi","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/montana/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/montana/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/montana/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/montana/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/montana/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/montana/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/montana","montana","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/north_carolina/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/north_carolina/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/north_carolina/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/north_carolina/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/north_carolina/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/north_carolina/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/north_carolina","north_carolina","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/north_dakota/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/north_dakota/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/north_dakota/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/north_dakota/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/north_dakota/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/north_dakota/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/north_dakota","north_dakota","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/nebraska/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/nebraska/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/nebraska/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/nebraska/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
