Sex and Country,Age,SCA,Value
MCôte D'Ivoire,20,MCôte D'Ivoire20,0.479376418
MDenmark,20,MDenmark20,1.180270441
MDjibouti,20,MDjibouti20,0.666982042
MDominica,20,MDominica20,0.710296977
MDominican Republic,20,MDominican Republic20,0.710296977
MEcuador,20,MEcuador20,0.790315158
MEgypt,20,MEgypt20,0.479376418
MEl Salvador,20,MEl Salvador20,0.839891418
MEquatorial Guinea,20,MEquatorial Guinea20,0.479376418
MEritrea,20,MEritrea20,0.666982042
MEstonia,20,MEstonia20,0.632191345
MEthiopia,20,MEthiopia20,0.666982042
MFalkland Islands (Malvinas),20,MFalkland Islands (Malvinas)20,0.870618769
MFaroe Islands,20,MFaroe Islands20,1
MFiji,20,MFiji20,0.628298616
MFinland,20,MFinland20,1.002616513
MFrance,20,MFrance20,1.083467673
MFrench Guiana,20,MFrench Guiana20,0.837789646
MFrench Polynesia,20,MFrench Polynesia20,0.628298616
MFrench Southern Territories,20,MFrench Southern Territories20,0.160835752
MGabon,20,MGabon20,0.479376418
MGambia,20,MGambia20,0.479376418
MGeorgia,20,MGeorgia20,0.673863529
MGermany,20,MGermany20,1.102873483
MGhana,20,MGhana20,0.479376418
MGibraltar,20,MGibraltar20,1.016088274
MGreece,20,MGreece20,0.673863529
MGreenland,20,MGreenland20,1.041584532
MGrenada,20,MGrenada20,0.710296977
MGuadeloupe,20,MGuadeloupe20,0.710296977
