Index,OccupancyGroup,BUILDING,CONTENTS
MICHIGANINDUST-PROC - LOW,11.0,0.00000,0.15700
MICHIGANINSTITUTIONAL - HIGH,8.0,0.00000,0.06900
MICHIGANINSTITUTIONAL - LOW,0.0,0.00000,0.04100
MICHIGANMERCANTILE - HIGH,4.0,0.00000,0.26600
MICHIGANMERCANTILE - LOW,6.0,0.00000,0.15100
MICHIGANMERCANTILE - MEDIUM,5.0,0.00000,0.20600
MICHIGANMOTELS AND HOTELS,7.0,0.00000,0.11500
MICHIGANOFFICES,3.0,0.00000,0.13900
MICHIGANRES APTS AND CONDOS,2.0,0.00000,0.13400
MICHIGANSERVICE - HIGH,12.0,0.00000,0.15500
MICHIGANSERVICE - LOW,13.0,0.00000,0.11300
MINNESOTABUILDINGS,1.0,0.12200,0.00000
MINNESOTACONTRACTORS,14.0,0.00000,0.40400
MINNESOTAINDUST-PROC - HIGH,10.0,0.00000,0.43000
MINNESOTAINDUST-PROC - LOW,11.0,0.00000,0.27600
MINNESOTAINSTITUTIONAL - HIGH,8.0,0.00000,0.10600
MINNESOTAINSTITUTIONAL - LOW,0.0,0.00000,0.10600
MINNESOTAMERCANTILE - HIGH,4.0,0.00000,0.33400
MINNESOTAMERCANTILE - LOW,6.0,0.00000,0.30800
MINNESOTAMERCANTILE - MEDIUM,5.0,0.00000,0.38200
MINNESOTAMOTELS AND HOTELS,7.0,0.00000,0.19600
MINNESOTAOFFICES,3.0,0.00000,0.25600
MINNESOTARES APTS AND CONDOS,2.0,0.00000,0.25200
MINNESOTASERVICE - HIGH,12.0,0.00000,0.36600
MINNESOTASERVICE - LOW,13.0,0.00000,0.24600
MISSOURIBUILDINGS,1.0,0.08600,0.00000
MISSOURICONTRACTORS,14.0,0.00000,0.34200
MISSOURIINDUST-PROC - HIGH,10.0,0.00000,0.38200
MISSOURIINDUST-PROC - LOW,11.0,0.00000,0.34000
MISSOURIINSTITUTIONAL - HIGH,8.0,0.00000,0.10400
MISSOURIINSTITUTIONAL - LOW,0.0,0.00000,0.06400
MISSOURIMERCANTILE - HIGH,4.0,0.00000,0.30000
MISSOURIMERCANTILE - LOW,6.0,0.00000,0.21200
MISSOURIMERCANTILE - MEDIUM,5.0,0.00000,0.28900
MISSOURIMOTELS AND HOTELS,7.0,0.00000,0.13900
MISSOURIOFFICES,3.0,0.00000,0.21500
MISSOURIRES APTS AND CONDOS,2.0,0.00000,0.33400
MISSOURISERVICE - HIGH,12.0,0.00000,0.32900
MISSOURISERVICE - LOW,13.0,0.00000,0.19700
MONTANABUILDINGS,1.0,0.11000,0.00000
MONTANACONTRACTORS,14.0,0.00000,0.33200
MONTANAINDUST-PROC - HIGH,10.0,0.00000,0.28600
MONTANAINDUST-PROC - LOW,11.0,0.00000,0.21400
