Version,Benchmark Class,Item,Value
13,E&S Homeowners,Cat COV,2.659600004
13,E&S Homeowners,Large Loss Threshold,250000
13,E&S Homeowners,Decay Factor,0.9
13,E&S Homeowners,Target NLR,0.7
13,E&S Homeowners,NML,0.045
13,E&S Homeowners,LAE,0.075
13,E&S Homeowners,RoC,0.15
13,E&S Homeowners,Variable Expense,0
13,E&S Homeowners,Fixed Expense,0
13,E&S Homeowners,Climate Load,0.006
13,Covers,Gross Net Att ULR,0.438715974
13,Covers,Gross Net Cat ULR,0.226307303
13,Covers,Total ULR,0.665023277
13,Covers,BP GN Premium,146285104.2
13,Covers,BP NN Premium,146285104.2
13,Covers,Net Premium,118864464.8
13,Covers,Net Expense/ GN Premium,0.124844265
13,Covers,Investment Income /GN Premium,7.03E-02
13,Covers,RI Premium/GN Premium,0.187446559
13,Covers,RI Recoveries/ GN Premium,8.63E-02
13,Covers,Capital Required / GN Premium,0.516310479
13,Covers,Att LR,0.373903031
13,Covers,Large LR,8.70E-02
13,Covers,Cat LR,0.17477431
13,Covers,Att COV,0.209965459
13,Covers,Large COV,0.4118254
13,Covers,Cat COV,1.810134798
13,Covers,Large Loss Threshold,250000
13,Covers,Decay Factor,0.9
13,Covers,Target NLR,0.7
13,Covers,NML,0.045
13,Covers,LAE,0.075
13,Covers,RoC,0.15
13,Covers,Variable Expense,0
13,Covers,Fixed Expense,0
13,Covers,Climate Load,0.006
13,Specie,Gross Net Att ULR,0.503
13,Specie,Gross Net Cat ULR,0.07525
13,Specie,Total ULR,0.57825
13,Specie,BP GN Premium,34274389.88
13,Specie,BP NN Premium,34274389.88
13,Specie,Net Premium,28926654.54
13,Specie,Net Expense/ GN Premium,0.184912321
13,Specie,Investment Income /GN Premium,7.31E-02
13,Specie,RI Premium/GN Premium,0.156027149
13,Specie,RI Recoveries/ GN Premium,6.48E-02
13,Specie,Capital Required / GN Premium,0.448620212
13,Specie,Att LR,0.31560448
13,Specie,Large LR,0.193918348
13,Specie,Cat LR,0.01
13,Specie,Att COV,0.512891264
13,Specie,Large COV,1.153408097
13,Specie,Cat COV,2.038990087
