StateCounty,FL,WF,TN,HA
ALEtowah County,1.80512820512821,1.00000000000000,1.00000000000000,1.00000000000000
ALFayette County,6.37777777777778,1.00000000000000,1.00000000000000,1.00000000000000
ALFranklin County,2.38095238095238,2.35714285714286,1.00000000000000,1.00000000000000
ALGeneva County,5.01481481481482,3.30555555555556,1.00000000000000,1.00000000000000
ALGreene County,3.52222222222222,1.00000000000000,1.00000000000000,1.00000000000000
ALHale County,2.70666666666667,1.40000000000000,1.00000000000000,1.00000000000000
ALHenry County,0.76000000000000,3.30000000000000,1.00000000000000,1.00000000000000
ALHouston County,1.56410256410256,1.61538461538461,1.00000000000000,1.00000000000000
ALJackson County,2.00392156862745,1.00000000000000,1.00000000000000,1.00000000000000
ALJefferson County,2.69034267912773,1.00934579439252,1.00000000000000,1.00000000000000
ALLamar County,3.56000000000000,1.00000000000000,1.00000000000000,1.00000000000000
ALLauderdale County,0.74545454545455,1.27272727272727,1.00000000000000,1.00000000000000
ALLawrence County,1.57777777777778,4.62500000000000,1.00000000000000,1.00000000000000
ALLee County,1.93809523809524,2.96428571428571,1.00000000000000,1.00000000000000
ALLimestone County,2.87777777777778,1.00000000000000,1.00000000000000,1.00000000000000
ALLowndes County,1.85333333333333,1.20000000000000,1.00000000000000,1.00000000000000
ALMacon County,3.52222222222222,8.70833333333333,1.00000000000000,1.00000000000000
ALMadison County,4.26666666666667,4.69594594594594,1.00000000000000,1.00000000000000
ALMarengo County,0.73333333333333,1.00000000000000,1.00000000000000,1.00000000000000
ALMarion County,5.33333333333333,1.00000000000000,1.00000000000000,1.00000000000000
ALMarshall County,0.72000000000000,1.00000000000000,1.00000000000000,1.00000000000000
ALMobile County,4.53541666666667,2.61718750000000,1.00000000000000,1.00000000000000
ALMonroe County,0.89333333333333,2.21666666666667,1.00000000000000,1.00000000000000
ALMontgomery County,1.73207547169811,15.52358490566040,1.00000000000000,1.00000000000000
ALMorgan County,3.53846153846154,1.80769230769231,1.00000000000000,1.00000000000000
ALPerry County,0.73333333333333,1.66666666666667,1.00000000000000,1.00000000000000
ALPickens County,1.12222222222222,1.16666666666667,1.00000000000000,1.00000000000000
ALPike County,6.10000000000000,1.00000000000000,1.00000000000000,1.00000000000000
ALRandolph County,0.60000000000000,1.00000000000000,1.00000000000000,1.00000000000000
ALRussell County,5.23333333333333,18.12500000000000,1.00000000000000,1.00000000000000
ALShelby County,2.84333333333333,1.96250000000000,1.00000000000000,1.00000000000000
ALSt. Clair County,2.82051282051282,1.00000000000000,1.00000000000000,1.00000000000000
ALSumter County,2.46666666666667,2.27777777777778,1.00000000000000,1.00000000000000
ALTalladega County,5.27333333333333,8.27500000000000,1.00000000000000,1.00000000000000
ALTallapoosa County,2.03333333333333,1.00000000000000,1.00000000000000,1.00000000000000
ALTuscaloosa County,1.32857142857143,2.41071428571429,1.00000000000000,1.00000000000000
ALWalker County,3.19215686274510,1.11764705882353,1.00000000000000,1.00000000000000
ALWashington County,1.07111111111111,10.18333333333330,1.00000000000000,1.00000000000000
ALWilcox County,4.66666666666667,2.32812500000000,1.00000000000000,1.00000000000000
ALWinston County,2.15833333333333,2.90625000000000,1.00000000000000,1.00000000000000
ARArkansas County,2.28000000000000,2.00000000000000,1.00000000000000,1.00000000000000
ARAshley County,5.33333333333333,2.00000000000000,1.00000000000000,1.00000000000000
ARBaxter County,2.90769230769231,1.76923076923077,1.00000000000000,1.00000000000000
ARBenton County,2.37575757575758,1.09090909090909,1.00000000000000,1.00000000000000
ARBoone County,4.78333333333333,2.18750000000000,1.00000000000000,1.00000000000000
ARBradley County,3.91666666666667,1.25000000000000,1.00000000000000,1.00000000000000
ARCalhoun County,0.70000000000000,1.00000000000000,1.00000000000000,1.00000000000000
ARCarroll County,0.73333333333333,1.66666666666667,1.00000000000000,1.00000000000000
ARChicot County,5.66666666666667,2.00000000000000,1.00000000000000,1.00000000000000
ARClark County,1.18666666666667,7.22500000000000,1.00000000000000,1.00000000000000
ARClay County,4.78181818181818,2.00000000000000,1.00000000000000,1.00000000000000
ARCleburne County,3.01212121212121,1.00000000000000,1.00000000000000,1.00000000000000
ARCleveland County,4.75555555555556,1.00000000000000,1.00000000000000,1.00000000000000
ARColumbia County,3.94285714285714,1.00000000000000,1.00000000000000,1.00000000000000
ARConway County,3.71851851851852,11.05555555555560,1.00000000000000,1.00000000000000
ARCraighead County,4.03111111111111,2.00000000000000,1.00000000000000,1.00000000000000
ARCrawford County,0.70909090909091,11.79545454545450,1.00000000000000,1.00000000000000
ARCrittenden County,5.66666666666667,2.00000000000000,1.00000000000000,1.00000000000000
ARCross County,3.60952380952381,2.00000000000000,1.00000000000000,1.00000000000000
ARDallas County,3.71666666666667,1.00000000000000,1.00000000000000,1.00000000000000
ARDesha County,8.00000000000000,2.00000000000000,1.00000000000000,1.00000000000000
ARDrew County,3.26666666666667,1.83333333333333,1.00000000000000,1.00000000000000
ARFaulkner County,4.17222222222222,1.91666666666667,1.00000000000000,1.00000000000000
ARFranklin County,5.21111111111111,11.83333333333330,1.00000000000000,1.00000000000000
ARFulton County,4.28148148148148,1.55555555555556,1.00000000000000,1.00000000000000
ARGarland County,2.34222222222222,5.28333333333333,1.00000000000000,1.00000000000000
ARGrant County,5.20000000000000,1.20000000000000,1.00000000000000,1.00000000000000
ARGreene County,1.72500000000000,2.00000000000000,1.00000000000000,1.00000000000000
ARHempstead County,0.77777777777778,5.11111111111111,1.00000000000000,1.00000000000000
ARHot Spring County,1.85333333333333,3.85000000000000,1.00000000000000,1.00000000000000
ARHoward County,3.81666666666667,10.18750000000000,1.00000000000000,1.00000000000000
ARIndependence County,1.31250000000000,1.56250000000000,1.00000000000000,1.00000000000000
ARIzard County,3.74222222222222,1.40000000000000,1.00000000000000,1.00000000000000
