PolicyReference,SectionReference,YOA,CoverageName,TriFocusName,Division,RateChangeDivisor,SettlementCurrency,WrittenOrEstimatPrem,TotalIncurred,RateChangeReformat,WEPOnLevel,Index,TotalWrittenIfNotSignedMultiplier,TotalWEP
F8707V93,F8707V93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,2307.3838,1479.9594,1,2307.3838,F8707VANFW,0.1628,14173.11916
F8727H93,F8727H93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,-24.5872,0,1,-24.5872,F8727HANFD,0.4,-61.468
F8716Q93,F8716Q93ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,2038.7314,0,1,2038.7314,F8716QANFJ,0.1875,10873.23413
F8719Z93,F8719Z93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,2766.06,0,1,2766.06,F8719ZANFW,0.15,18440.4
B0716J93,B0716J93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,7412.2406,3980.8876,1,7412.2406,B0716JANFJ,0.1274,58180.85243
F8601Q93,F8601Q93INFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,-103.8479,0,1,-103.8479,F8601QINFJ,0.07865,-1320.380165
L0616L93,L0616L93AVFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,15169.3148,533.0574,1,15169.3148,L0616LAVFR,0.0466,325521.7768
B0718F93,B0718F93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,4125.3409,5993.3919,1,4125.3409,B0718FANFJ,0.0556,74196.77878
F9272K93,F9272K93ANFW,1994,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,1115.06,0,1,1115.06,F9272KANFW,0.5,2230.12
B0962L93,B0962L93INFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,25483.0077,14076.7582,1,25483.0077,B0962LINFM,0.1333,191170.3503
F9269C93,F9269C93ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,626.6586,0,1,626.6586,F9269CANFJ,0.3334,1879.59988
B0733V93,B0733V93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,USD,14677.49,14606.2193,1,14677.49,B0733VANFM,0.0229,640938.4279
F9445D93,F9445D93ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,CAD,1275.669,0,1,1275.669,F9445DANFM,0.15,8504.46
P0426F93,P0426F93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,650.5218,518.2795,1,650.5218,P0426FANFM,0.039007,16677.05284
P0428C93,P0428C93AXFM,1993,General Specie,Fine Art and Specie,Property Risks,0,USD,42164.203,33616.5948,1,42164.203,P0428CAXFM,0.0481,876594.657
F9274G93,F9274G93ANFW,1994,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,320.802,0,1,320.802,F9274GANFW,0.2105,1524
B1193N93,B1193N93ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,USD,222.3293,0,1,222.3293,B1193NANFM,0.059289,3749.924944
F7452G93,F7452G93ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,6216.1671,0,1,6216.1671,F7452GANFJ,0.027778,223780.2254
F7703E93,F7703E93ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,2768.5502,0,1,2768.5502,F7703EANFJ,0.3809,7268.443686
F7874G93,F7874G93ANFD,1994,Art Dealers,Jewellers,Property Risks,0,GBP,2313.6606,0,1,2313.6606,F7874GANFD,0.3141,7366
F7641Z93,F7641Z93AVFR,1994,Fine Art,Fine Art and Specie,Property Risks,0,USD,2434.6472,0,1,2434.6472,F7641ZAVFR,0.02,121732.36
F8580A93,F8580A93ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,4659.4281,0,1,4659.4281,F8580AANFJ,0.1817,25643.52284
F8580A94,F8580A94ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,0,0,1,0,F8580AANFJ,0.18,0
F7867F94,F7867F94ANFR,1994,Fine Art,Fine Art and Specie,Property Risks,0,GBP,1218.6628,0,1,1218.6628,F7867FANFR,0.08163,14929.1045
F7864B94,F7864B94ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,5696.4638,0,1,5696.4638,F7864BANFJ,0.1099,51833.1556
B0938D94,B0938D94ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,GBP,50707.8488,29819.7003,1,50707.8488,B0938DANFM,0.1818,278921.0605
B0994F94,B0994F94ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,GBP,36170.2276,0,1,36170.2276,B0994FANFM,0.35209999,102727.1475
B1012E94,B1012E94ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,GBP,15951.8298,20689.2917,1,15951.8298,B1012EANFM,0.076125,209547.8463
L0307S94,L0307S94AVFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,USD,765.6982,0,1,765.6982,L0307SAVFJ,0.1137,6734.372911
L0350G94,L0350G94AVFR,1994,Fine Art,Fine Art and Specie,Property Risks,0,USD,6706.5436,79.8706,1,6706.5436,L0350GAVFR,0.033311,201331.1999
B0959D94,B0959D94ANFD,1994,Art Dealers,Jewellers,Property Risks,0,GBP,109212.481,43859.3967,1,109212.481,B0959DANFD,0.2437,448143.1309
B1502D94,B1502D94ANFD,1994,Art Dealers,Jewellers,Property Risks,0,GBP,1148.7008,18315.1644,1,1148.7008,B1502DANFD,0.049995,22976.31363
B0996C94,B0996C94ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,2263334.133,1333872.671,1,2263334.133,B0996CANFJ,0.3,7544447.109
B1013N94,B1013N94ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,GBP,16724.5843,3958.2394,1,16724.5843,B1013NANFM,0.07425,225246.9266
F7901Q94,F7901Q94ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1136.8943,0,1,1136.8943,F7901QANFJ,0.25,4547.5772
F7917J94,F7917J94ANFJ,1994,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1715.6989,539.5806,1,1715.6989,F7917JANFJ,0.1304,13157.20015
