"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/imo","imo","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/name","name","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/vessel_type","vessel_type","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/year_built","year_built","int","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/dwt","dwt","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/order_percent","order_percent","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/inception_date","inception_date","date","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/expiry_date","expiry_date","date","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/deductible","deductible","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/agreed_value","agreed_value","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/achieved_rate","achieved_rate","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/hull_written_line","hull_written_line","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/hull_policy_reference","hull_policy_reference","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/iv_written_line","iv_written_line","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/iv_agreed_value","iv_agreed_value","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/iv_achieved_rate","iv_achieved_rate","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/iv_deductible","iv_deductible","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/iv_policy_reference","iv_policy_reference","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/war_written_line","war_written_line","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/war_agreed_value","war_agreed_value","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/war_achieved_rate","war_achieved_rate","float","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/war_policy_reference","war_policy_reference","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list/currency","currency","str","input","optional","Not set","None"
"cds/exposure/granular/vessels/hull_rating/data_mart_temp_vessels_list","data_mart_temp_vessels_list","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/has_error","has_error","bool","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_name","validation_name","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_inception_date","validation_inception_date","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_expiry_date","validation_expiry_date","str","output","n/a","Not set","n/a"
"cds/exposure/granular/vessels/hull_rating/vessels_list/error_validation_columns/validation_vessel_type","validation_vessel_type","str","output","n/a","Not set","n/a"
