vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Hospital Ship - OHS,9,14,297839.723266890000000000000000,61994286,3,0.004804309275646630000000
Hydrofoil - OHF,5,8,30108.750000000000000000000000,4000000,1,0.007527187500000000000000
Icebreaker - OIB,2,4,148012.213081021000000000000000,198362589.062842000000000000000000,3,0.000746170000000000000000
Icebreaker - OIB,35,39,29202.692000167100000000000000,18017066.512117000000000000000000,1,0.001620835000000000000000
Icebreaker - OIB,40,44,15903.590072623200000000000000,9811973.502931000000000000000000,1,0.001620835000000000000000
Icebreaker - OIB,9,14,79109.569238844200000000000000,106020838.734932000000000000000000,2,0.000746170000000000000000
Landing Craft - OLC,0,1,8757.000365434000000000000000,1671597.689954000000000000000000,2,0.005238700925504970000000
Landing Craft - OLC,15,19,30865.322471444800000000000000,4520174.340494000000000000000000,10,0.006828347790689780000000
Landing Craft - OLC,2,4,75646.998150186700000000000000,12578391.640169000000000000000000,11,0.006014043791466040000000
Landing Craft - OLC,20,24,8237.981615481600000000000000,969032.459946000000000000000000,2,0.008501244236896530000000
Landing Craft - OLC,40,44,10523.250000000000000000000000,187500,1,0.056124000000000000000000
Landing Craft - OLC,5,8,72368.240263407300000000000000,13261064.295264000000000000000000,5,0.005457196998075980000000
Landing Craft - OLC,9,14,92201.786355635600000000000000,14377696.113298000000000000000000,13,0.006412834547974460000000
Liquid Natural Gas Carrier - LNG,0,1,2221181.002790000000000000000000,2998610000,18,0.000740736875682400000000
Liquid Natural Gas Carrier - LNG,15,19,669822.856430000000000000000000,601550000,16,0.001113494898894520000000
Liquid Natural Gas Carrier - LNG,2,4,3283408.384275000000000000000000,6175630000,37,0.000531671810693808000000
Liquid Natural Gas Carrier - LNG,20,24,523908.692723374000000000000000,287180676.690000000000000000000000,14,0.001824317355756190000000
Liquid Natural Gas Carrier - LNG,25,29,170696.198720000000000000000000,45060676,5,0.003788141099347910000000
Liquid Natural Gas Carrier - LNG,30,999,110651.567249850000000000000000,42151561,2,0.002625088244059340000000
Liquid Natural Gas Carrier - LNG,35,39,158999.841000000000000000000000,42000000,2,0.003785710500000000000000
Liquid Natural Gas Carrier - LNG,40,44,82680.318000000000000000000000,21000000,1,0.003937158000000000000000
Liquid Natural Gas Carrier - LNG,5,8,3821161.162495300000000000000000,5841544727,44,0.000654135394159296000000
Liquid Natural Gas Carrier - LNG,9,14,4089556.053084100000000000000000,5580695561,51,0.000732804004157377000000
Liquid Petroleum Gas Carrier - LPG,0,1,1683232.054332170000000000000000,1633674839.661330000000000000000000,24,0.001030334809270320000000
Liquid Petroleum Gas Carrier - LPG,15,19,1323549.537327820000000000000000,506483183.757413000000000000000000,25,0.002613215166412610000000
Liquid Petroleum Gas Carrier - LPG,2,4,4229381.608046660000000000000000,3831667803.144290000000000000000000,67,0.001103796525517170000000
Liquid Petroleum Gas Carrier - LPG,20,24,986695.222505000000000000000000,258880000,19,0.003811399963322770000000
Liquid Petroleum Gas Carrier - LPG,25,29,384624.852200000000000000000000,50220000,14,0.007658798331342090000000
Liquid Petroleum Gas Carrier - LPG,30,999,113405.923400000000000000000000,27230000,6,0.004164741953727510000000
Liquid Petroleum Gas Carrier - LPG,5,8,2350455.672795000000000000000000,1372555000,34,0.001712467385857030000000
Liquid Petroleum Gas Carrier - LPG,9,14,4492781.183504800000000000000000,1819430479,90,0.002469333802726080000000
Livestock - MLV,15,19,391925.460000000000000000000000,72200000,3,0.005428330470914130000000
Livestock - MLV,2,4,691080.660000000000000000000000,138300000,5,0.004996967895878520000000
Livestock - MLV,20,24,398487.517200000000000000000000,29400000,4,0.013553997183673500000000
Livestock - MLV,25,29,526891.020000000000000000000000,71400000,4,0.007379426050420170000000
Livestock - MLV,30,999,693304.363200000000000000000000,70720000,2,0.009803511923076920000000
Livestock - MLV,35,39,756667.008000000000000000000000,83200000,2,0.009094555384615390000000
Livestock - MLV,40,44,1270810.680000000000000000000000,66000000,6,0.019254707272727300000000
Livestock - MLV,45,49,239382.450000000000000000000000,10000000,1,0.023938245000000000000000
Livestock - MLV,5,8,1080781.980000000000000000000000,167600000,6,0.006448579832935560000000
Livestock - MLV,50,999,403960.567500000000000000000000,13500000,1,0.029923005000000000000000
Livestock - MLV,9,14,83101.350000000000000000000000,5000000,1,0.016620270000000000000000
Maintenance - OMT,9,14,188714.828328000000000000000000,80291250,4,0.002350378507346690000000
Naval Auxiliary Vessel - NAX,25,29,1944.684000000000000000000000,69453,1,0.028000000000000000000000
Oceanographic Research - ROR,50,999,182524.396620000000000000000000,8530000,3,0.021397936297772600000000
Offshore Safety - OOS,15,19,56439.243756000000000000000000,10186500,2,0.005540592328670300000000
