"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/quote/rol_ty/prem_full_line","prem_full_line","float","output","n/a","Premium 100%","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/quote_adequacy","quote_adequacy","float","output","n/a","Quote Adequacy","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/fot_adequacy","fot_adequacy","float","output","n/a","FOT Adequacy","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rms_adequacy","rms_adequacy","float","output","n/a","RMS Adequacy","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/written_line","written_line","float","input","optional","Written Line","None","n/a","['start_renewal_task']"
"cds/layers/quote/rol_ty/estimated_signing","estimated_signing","float","input","optional","Estimated Signing","None","n/a","['start_renewal_task']"
"cds/layers/quote/rol_ty/signed_line","signed_line","float","input","optional","Signed Line","None","n/a","['start_renewal_task']"
"cds/layers/quote/rol_ty/est_sign_written_ratio","est_sign_written_ratio","float","output","n/a","Estimated Signing %","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/epi_written","epi_written","float","output","n/a","Written EPI","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/epi_estimated","epi_estimated","float","output","n/a","Estimated EPI","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/epi_signed","epi_signed","float","output","n/a","Signed EPI","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rp_quote_break_even","rp_quote_break_even","float","output","n/a","Quote Break Even","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/rp_fot_break_even","rp_fot_break_even","float","output","n/a","FOT Break Even","n/a","n/a","n/a"
"cds/layers/quote/rol_ty/curve_agg_rp_attach","curve_agg_rp_attach","float","output","n/a","Not set","n/a","n/a","['aggregate_curves_task']"
"cds/layers/quote/rol_ty/curve_agg_rp_exit","curve_agg_rp_exit","float","output","n/a","Not set","n/a","n/a","['aggregate_curves_task']"
"cds/layers/quote/rol_ty/rms_ap_attach","rms_ap_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_ap_exit","rms_ap_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_eq_attach","rms_eq_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_eq_exit","rms_eq_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_ws_attach","rms_ws_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_ws_exit","rms_ws_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_scs_attach","rms_scs_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/rms_scs_exit","rms_scs_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/air_ap_attach","air_ap_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/air_ap_exit","air_ap_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/air_eq_attach","air_eq_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/air_eq_exit","air_eq_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/air_ws_attach","air_ws_attach","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
"cds/layers/quote/rol_ty/air_ws_exit","air_ws_exit","float","output","n/a","Not set","n/a","n/a","['peril_allocation_task']"
