"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/tvfilm/other4/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/other4/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/other4","other4","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/production5/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/production5/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/production5/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/production5","production5","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/broadcast5/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/broadcast5/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/broadcast5/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/tvfilm/broadcast5","broadcast5","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/tvfilm/distribution_high/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/tvfilm/distribution_high/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/tvfilm/distribution_high/show_row","show_row","bool","output","n/a","Show Row","n/a"
