"Path","Name","Type","Mode","Label","Default Value"
"cds/layers/rate_change/terms_conditions_change","terms_conditions_change","structure","n/a","n/a","n/a"
"cds/layers/rate_change/other_change/model_calculated","model_calculated","float","output","Model %","n/a"
"cds/layers/rate_change/other_change/uw_selected","uw_selected","float","override","UW Selected %","n/a"
"cds/layers/rate_change/other_change/comments","comments","str","input","Comment","None"
"cds/layers/rate_change/other_change","other_change","structure","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage_change/model_calculated","model_calculated","float","output","Model %","n/a"
"cds/layers/rate_change/brokerage_change/uw_selected","uw_selected","float","override","UW Selected %","n/a"
"cds/layers/rate_change/brokerage_change/comments","comments","str","input","Comment","None"
"cds/layers/rate_change/brokerage_change","brokerage_change","structure","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/model_calculated","model_calculated","float","output","Model %","n/a"
"cds/layers/rate_change/rate_change/uw_selected","uw_selected","float","output","UW Selected %","n/a"
"cds/layers/rate_change/rate_change/comments","comments","str","input","Comment","None"
"cds/layers/rate_change/rate_change/lloyds_limit_attachment_point_change","lloyds_limit_attachment_point_change","float","output","Lloyds's Limit Attachment Point Change","n/a"
"cds/layers/rate_change/rate_change/lloyds_breadth_of_cover_change","lloyds_breadth_of_cover_change","float","output","Lloyds's Breadth of Cover Change","n/a"
"cds/layers/rate_change/rate_change/other_factors_change","other_factors_change","float","output","Other Factors Change","n/a"
"cds/layers/rate_change/rate_change","rate_change","structure","n/a","n/a","n/a"
"cds/layers/rate_change","rate_change","structure","n/a","n/a","n/a"
"cds/layers/quoted_premium_100pct","quoted_premium_100pct","float","input","EPI (GG 100%)","None"
"cds/layers/commission","commission","float","input","Flat Commission (%)","None"
"cds/layers/ipt","ipt","float","input","IPT (%)","None"
"cds/layers/total_deductions","total_deductions","float","output","Total Deductions (%)","n/a"
"cds/layers","layers","list","n/a","n/a","n/a"
"cds/currencies/target_currency","target_currency","str","input","Target Currency","None"
"cds/currencies/source_currency","source_currency","str","input","Settlement Currency","USD"
"cds/currencies/multi_currency_support","multi_currency_support","bool","input","Multi Currency Support","False"
"cds/currencies/rates/code","code","str","input","Code","None"
"cds/currencies/rates/rate","rate","float","input","Rate","None"
"cds/currencies/rates","rates","list","n/a","n/a","n/a"
"cds/currencies","currencies","structure","n/a","n/a","n/a"
"cds/experience_rating/claims_available","claims_available","bool","input","Loss Data Avaialble","False"
"cds/experience_rating/claims_fgu","claims_fgu","bool","input","Claims From Ground Up","False"
"cds/experience_rating/claims_net_of_deductible","claims_net_of_deductible","bool","input","Are Claims net of Deductible","False"
"cds/experience_rating","experience_rating","structure","n/a","n/a","n/a"
"cds/database_id","database_id","int","output","Database ID","n/a"
"cds/broker_contact","broker_contact","str","input","Broker Contact",""
"cds/risk_info/application_date","application_date","date","input","Application Date","None"
"cds/risk_info/new_insured","new_insured","str","input","New/Replacement","None"
"cds/risk_info/facility_reference2","facility_reference2","str","input","Facility Reference 2","None"
"cds/risk_info/facility_reference3","facility_reference3","str","input","Facility Reference 3","None"
"cds/risk_info/facility_reference4","facility_reference4","str","input","Facility Reference 4","None"
"cds/risk_info/facility_reference5","facility_reference5","str","input","Facility Reference 5","None"
"cds/risk_info/facility_reference6","facility_reference6","str","input","Facility Reference 6","None"
"cds/risk_info/facility_reference7","facility_reference7","str","input","Facility Reference 7","None"
"cds/risk_info/department","department","str","output","Department","n/a"
"cds/risk_info/division","division","str","output","Division","n/a"
"cds/risk_info/trifocus_valid","trifocus_valid","bool","output","Is Trifocus Valid:","n/a"
"cds/risk_info/proxy_trifocus","proxy_trifocus","str","input","Override or Proxy Trifocus","None"
"cds/risk_info/business_plan_mi_group","business_plan_mi_group","str","output","Benchmark Planning MI Name","n/a"
"cds/risk_info/ibnr_group","ibnr_group","str","output","IBNR Group","n/a"
"cds/risk_info/st_or_lt","st_or_lt","str","output","Short-tailed or Long-tailed","n/a"
"cds/risk_info/trifocus_previous","trifocus_previous","str","input","Trifocus Previous","None"
"cds/risk_info/ibnr_group_previous","ibnr_group_previous","str","input","IBNR Group Previous","None"
"cds/risk_info/new_to_market","new_to_market","str","input","New to Market","No"
"cds/risk_info/rms_modelling_available","rms_modelling_available","str","input","Show RMS Analysis","No"
"cds/risk_info/pc_modelling_required","pc_modelling_required","str","input","Show Profit Commission Analysis","No"
"cds/risk_info/tri_modelling_required","tri_modelling_required","str","input","Show Triangle Analysis","No"
"cds/risk_info/srcc_coverage_given_indicator","srcc_coverage_given_indicator","str","input","Is SRCC Coverage given?","No"
"cds/risk_info/srcc_fully_excluded_indicator","srcc_fully_excluded_indicator","str","input","Is SRCC fully excluded?","No"
"cds/risk_info/srcc_sublimit_indicator","srcc_sublimit_indicator","str","input","Is SRCC sub-limitted","No"
"cds/risk_info/srcc_sublimit","srcc_sublimit","float","input","SRCC sub-limit","None"
