policy_option_id,policy_option_id_old,datafix,status,time,error_step,error_message,error_detail,time_taken
1411960,1382649,yes,succeeded,23:12.2,,,,13.29463816
1411961,1382650,yes,succeeded,23:12.4,,,,13.11463523
1411962,1382651,yes,succeeded,23:17.4,,,,13.59346008
1411963,1382652,yes,succeeded,23:17.5,,,,12.99382257
1411964,1382654,yes,succeeded,23:23.2,,,,14.11515641
1411966,1382655,yes,failed,23:28.3,open session,400,,17.284374
1411965,1382653,yes,succeeded,23:24.5,,,,12.29404402
1411967,1382656,yes,succeeded,23:26.3,,,,13.97730136
1411968,1382657,yes,succeeded,23:28.2,,,,14.1451509
1411969,1382658,yes,succeeded,23:31.4,,,,13.98100209
1411970,1382659,yes,succeeded,23:32.1,,,,14.5758388
1411971,1382660,yes,succeeded,23:37.3,,,,14.03911829
1411972,1382661,yes,succeeded,23:36.8,,,,12.36183834
1411973,1382662,yes,succeeded,23:40.4,,,,14.03695107
1411974,1382663,yes,succeeded,23:41.9,,,,13.72183108
1411975,1382664,yes,succeeded,23:41.6,,,,13.22934175
1411976,1382665,yes,succeeded,23:43.3,,,,13.45048261
1411977,1382666,yes,succeeded,23:45.0,,,,13.57784939
1411978,1382667,yes,succeeded,23:44.8,,,,12.71702981
1411979,1382668,yes,succeeded,23:51.8,,,,14.94016004
1411980,1382669,yes,succeeded,23:50.8,,,,13.58303761
1411981,1382670,yes,succeeded,23:53.7,,,,13.35809326
1411982,1382672,yes,succeeded,23:55.8,,,,14.21264505
1411983,1382671,yes,succeeded,23:57.4,,,,15.40820432
1411984,1382673,yes,succeeded,23:57.0,,,,13.67460275
1411985,1382674,yes,succeeded,24:00.1,,,,15.27942204
1411986,1382676,yes,succeeded,24:01.4,,,,16.44184232
1411987,1382675,yes,succeeded,24:04.3,,,,13.41765976
1411988,1382677,yes,succeeded,24:04.2,,,,12.456743
1411989,1382678,yes,succeeded,24:06.5,,,,12.74626923
1411990,1382679,yes,succeeded,24:08.8,,,,13.06217098
1411991,1382680,yes,succeeded,24:12.0,,,,14.97310686
1411992,1382681,yes,succeeded,24:12.5,,,,15.14568734
1411993,1382682,yes,succeeded,24:13.1,,,,12.95488524
1411994,1382683,yes,succeeded,24:14.2,,,,12.80800772
1411995,1382684,yes,succeeded,24:17.6,,,,13.40207696
1411996,1382685,yes,succeeded,24:17.7,,,,13.39854574
1411997,1382686,yes,succeeded,24:19.6,,,,13.12332535
1411998,1382687,yes,succeeded,24:22.2,,,,13.37670445
1411999,1382689,yes,succeeded,24:27.2,,,,15.19848275
1412000,1382690,yes,failed,24:53.5,get values,403,,41.02483082
1412001,1382691,yes,succeeded,24:28.6,,,,15.55929875
1412002,1382693,yes,succeeded,24:27.5,,,,13.26412082
1412003,1382692,yes,succeeded,24:31.2,,,,13.52814507
1412004,1382694,yes,succeeded,24:31.2,,,,13.55098081
1412005,1382695,yes,succeeded,24:33.6,,,,13.94707465
1412006,1382696,yes,succeeded,24:35.9,,,,13.69582248
1412007,1382697,yes,succeeded,24:42.6,,,,15.38993645
1412008,1382698,yes,succeeded,24:44.5,,,,16.98131013
1412009,1382700,yes,succeeded,24:44.0,,,,15.40757847
