"Path","Name","Type","Mode","Label","Default Value"
"cds/exposure/granular/eo_misc_auctioneers","eo_misc_auctioneers","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_boat_agents/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_boat_agents/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_boat_agents/show_row","show_row","bool","output","Boat Agents","n/a"
"cds/exposure/granular/eo_misc_boat_agents","eo_misc_boat_agents","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_business_training_development_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_business_training_development_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_business_training_development_consultants/show_row","show_row","bool","output","Business Training & Development Consultants","n/a"
"cds/exposure/granular/eo_misc_business_training_development_consultants","eo_misc_business_training_development_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_clerical_administration/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_clerical_administration/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_clerical_administration/show_row","show_row","bool","output","Clerical Administration","n/a"
"cds/exposure/granular/eo_misc_clerical_administration","eo_misc_clerical_administration","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_debt_collectors/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_debt_collectors/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_debt_collectors/show_row","show_row","bool","output","Debt Collectors (Office Based Only) General Liability Exclusion","n/a"
"cds/exposure/granular/eo_misc_debt_collectors","eo_misc_debt_collectors","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_disability_and_access_audit_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_disability_and_access_audit_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_disability_and_access_audit_consultants/show_row","show_row","bool","output","Disability And Access Audit Consultants","n/a"
"cds/exposure/granular/eo_misc_disability_and_access_audit_consultants","eo_misc_disability_and_access_audit_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_disaster_recovery_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_disaster_recovery_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_disaster_recovery_consultants/show_row","show_row","bool","output","Disaster Recovery Consultants","n/a"
"cds/exposure/granular/eo_misc_disaster_recovery_consultants","eo_misc_disaster_recovery_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_educational_guardians/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_educational_guardians/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_educational_guardians/show_row","show_row","bool","output","Educational Guardians (Accommodation & Schools Placement For Overseas Students)","n/a"
"cds/exposure/granular/eo_misc_educational_guardians","eo_misc_educational_guardians","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_energy_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_energy_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_energy_consultants/show_row","show_row","bool","output","Energy Consultants (Provide Energy Cost Analysis)","n/a"
"cds/exposure/granular/eo_misc_energy_consultants","eo_misc_energy_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_event_organisers/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_event_organisers/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_event_organisers/show_row","show_row","bool","output","Event Organisers","n/a"
"cds/exposure/granular/eo_misc_event_organisers","eo_misc_event_organisers","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_exhibition_organisers/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_exhibition_organisers/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_exhibition_organisers/show_row","show_row","bool","output","Exhibition Organisers","n/a"
"cds/exposure/granular/eo_misc_exhibition_organisers","eo_misc_exhibition_organisers","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_expert_witness_work/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_expert_witness_work/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_expert_witness_work/show_row","show_row","bool","output","Expert Witness Work","n/a"
"cds/exposure/granular/eo_misc_expert_witness_work","eo_misc_expert_witness_work","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_facilities_management_consultants/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_facilities_management_consultants/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_facilities_management_consultants/show_row","show_row","bool","output","Facilities Management Consultants","n/a"
"cds/exposure/granular/eo_misc_facilities_management_consultants","eo_misc_facilities_management_consultants","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_misc_fashion_designers/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_misc_fashion_designers/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_misc_fashion_designers/show_row","show_row","bool","output","Fashion Designers","n/a"
"cds/exposure/granular/eo_misc_fashion_designers","eo_misc_fashion_designers","structure","n/a","n/a","n/a"
