Version,Benchmark Class,qtr,value
18,Marine Misc,9,0.875716
18,Marine Misc,10,0.906657
18,Marine Misc,11,0.92934
18,Marine Misc,12,0.946175
18,Marine Misc,13,0.95883
18,Marine Misc,14,0.968465
18,Marine Misc,15,0.975891
18,Marine Misc,16,0.981679
18,Marine Misc,17,0.986241
18,Marine Misc,18,0.989872
18,Marine Misc,19,0.99279
18,Marine Misc,20,0.995156
18,Marine Misc,21,0.997089
18,Marine Misc,22,0.99868
18,Marine Misc,23,1
18,Marine Misc,24,1
18,Marine Misc,25,1
18,Marine Misc,26,1
18,Marine Misc,27,1
18,Marine Misc,28,1
18,Marine Misc,29,1
18,Marine Misc,30,1
18,Marine Misc,31,1
18,Marine Misc,32,1
18,Marine Misc,33,1
18,Marine Misc,34,1
18,Marine Misc,35,1
18,Marine Misc,36,1
18,Marine Misc,37,1
18,Marine Misc,38,1
18,Marine Misc,39,1
18,Marine Misc,40,1
18,Marine Misc,41,1
18,Marine Misc,42,1
18,Marine Misc,43,1
18,Marine Misc,44,1
18,Marine Misc,45,1
18,Marine Misc,46,1
18,Marine Misc,47,1
18,Marine Misc,48,1
18,Marine Misc,49,1
18,Marine Misc,50,1
18,Marine Misc,51,1
18,Marine Misc,52,1
18,Marine Misc,53,1
18,Marine Misc,54,1
18,Marine Misc,55,1
18,Marine Misc,56,1
18,Marine Misc,57,1
18,Marine Misc,58,1
18,Marine Misc,59,1
18,Marine Misc,60,1
18,Marine Misc,61,1
18,Marine Misc,62,1
18,Marine Misc,63,1
18,Marine Misc,64,1
18,Marine Misc,65,1
18,Marine Misc,66,1
18,Marine Misc,67,1
18,Marine Misc,68,1
18,Marine Misc,69,1
18,Marine Misc,70,1
18,Marine Misc,71,1
18,Marine Misc,72,1
18,Marine Misc,73,1
18,Marine Misc,74,1
18,Marine Misc,75,1
18,Marine Misc,76,1
18,Marine Misc,77,1
18,Marine Misc,78,1
18,Marine Misc,79,1
18,Marine Misc,80,1
18,Satellite,1,0.00062
18,Satellite,2,0.01439
18,Satellite,3,0.12926
18,Satellite,4,0.235676
18,Satellite,5,0.396145
18,Satellite,6,0.568518
18,Satellite,7,0.717091
18,Satellite,8,0.829141
18,Satellite,9,0.895526
18,Satellite,10,0.918519
18,Satellite,11,0.944673
18,Satellite,12,0.964247
18,Satellite,13,0.979194
18,Satellite,14,0.990816
18,Satellite,15,1
18,Satellite,16,1
18,Satellite,17,1
18,Satellite,18,1
18,Satellite,19,1
18,Satellite,20,1
18,Satellite,21,1
18,Satellite,22,1
18,Satellite,23,1
18,Satellite,24,1
18,Satellite,25,1
18,Satellite,26,1
18,Satellite,27,1
18,Satellite,28,1
18,Satellite,29,1
18,Satellite,30,1
18,Satellite,31,1
18,Satellite,32,1
18,Satellite,33,1
18,Satellite,34,1
18,Satellite,35,1
18,Satellite,36,1
18,Satellite,37,1
18,Satellite,38,1
18,Satellite,39,1
18,Satellite,40,1
18,Satellite,41,1
18,Satellite,42,1
18,Satellite,43,1
18,Satellite,44,1
18,Satellite,45,1
18,Satellite,46,1
18,Satellite,47,1
18,Satellite,48,1
18,Satellite,49,1
18,Satellite,50,1
18,Satellite,51,1
18,Satellite,52,1
18,Satellite,53,1
18,Satellite,54,1
18,Satellite,55,1
18,Satellite,56,1
18,Satellite,57,1
18,Satellite,58,1
18,Satellite,59,1
18,Satellite,60,1
18,Satellite,61,1
18,Satellite,62,1
18,Satellite,63,1
18,Satellite,64,1
18,Satellite,65,1
18,Satellite,66,1
18,Satellite,67,1
18,Satellite,68,1
18,Satellite,69,1
18,Satellite,70,1
18,Satellite,71,1
18,Satellite,72,1
18,Satellite,73,1
18,Satellite,74,1
18,Satellite,75,1
18,Satellite,76,1
18,Satellite,77,1
18,Satellite,78,1
18,Satellite,79,1
18,Satellite,80,1
18,War,1,0.096138
18,War,2,0.109642
18,War,3,0.284605
18,War,4,0.411047
18,War,5,0.49648
18,War,6,0.59619
18,War,7,0.715428
18,War,8,0.782163
18,War,9,0.839831
18,War,10,0.889467
18,War,11,0.93209
18,War,12,0.968651
18,War,13,1
18,War,14,1
