curve,LimitLow,LimitHigh,Ilf
PI - LATAM,4000000,5000000,2.319532552
PI - LATAM,5000000,7500000,2.755569184
PI - LATAM,7500000,10000000,3.203811176
PI - LATAM,10000000,15000000,3.841788159
PI - LATAM,15000000,20000000,4.358403861
PI - LATAM,20000000,30000000,5.18987125
PI - LATAM,30000000,40000000,6.059120933
PI - LATAM,40000000,50000000,6.730156507
PI - LATAM,50000000,75000000,7.307723903
PI - LATAM,75000000,100000000,8.718303861
PI - LATAM,100000000,150000000,9.881342445
PI - LATAM,150000000,200000000,11.78869743
PI - LATAM,200000000,300000000,13.36133245
UK PI (HC20 2m),0,100000,1
UK PI (HC20 2m),100000,250000,1.1
UK PI (HC20 2m),250000,500000,1.2
UK PI (HC20 2m),500000,750000,1.35
UK PI (HC20 2m),750000,1000000,1.5
UK PI (HC20 2m),1000000,2000000,2.25
UK PI (HC20 2m),2000000,2500000,2.375
UK PI (HC20 2m),2500000,3000000,2.5
UK PI (HC20 2m),3000000,4000000,2.75
UK PI (HC20 2m),4000000,5000000,3
UK PI (HC20 2m),5000000,7500000,3
UK PI (HC20 2m),7500000,10000000,3
UK PI (HC20 2m),10000000,15000000,3
UK PI (HC20 2m),15000000,20000000,3
UK PI (HC20 2m),20000000,30000000,3
UK PI (HC20 2m),30000000,40000000,3
UK PI (HC20 2m),40000000,50000000,3
UK PI (HC20 2m),50000000,75000000,3
UK PI (HC20 2m),75000000,100000000,3
UK PI (HC20 2m),100000000,150000000,3
UK PI (HC20 2m),150000000,200000000,3
UK PI (HC20 2m),200000000,300000000,3
UK PI (HC8 2m),0,100000,0.8
UK PI (HC8 2m),100000,250000,0.9
UK PI (HC8 2m),250000,500000,1
UK PI (HC8 2m),500000,750000,1.1
UK PI (HC8 2m),750000,1000000,1.2
UK PI (HC8 2m),1000000,2000000,1.44
UK PI (HC8 2m),2000000,2500000,1.6
UK PI (HC8 2m),2500000,3000000,1.76
UK PI (HC8 2m),3000000,4000000,2.08
UK PI (HC8 2m),4000000,5000000,2.4
UK PI (HC8 2m),5000000,7500000,3.125
UK PI (HC8 2m),7500000,10000000,3.85
UK PI (HC8 2m),10000000,15000000,3.85
UK PI (HC8 2m),15000000,20000000,3.85
UK PI (HC8 2m),20000000,30000000,3.85
UK PI (HC8 2m),30000000,40000000,3.85
UK PI (HC8 2m),40000000,50000000,3.85
UK PI (HC8 2m),50000000,75000000,3.85
UK PI (HC8 2m),75000000,100000000,3.85
UK PI (HC8 2m),100000000,150000000,3.85
UK PI (HC8 2m),150000000,200000000,3.85
UK PI (HC8 2m),200000000,300000000,3.85
